id,path,aesthetic_score,pose_score,final_score
2e20a308-29ae-407a-837d-c39fef9fd790,images/disneyland/disney_castle/2e20a308-29ae-407a-837d-c39fef9fd790.jpg,5.481,374.06,0.5230044444444445
Cinderella Castle photo inspo,images/disneyland/disney_castle/Cinderella Castle photo inspo.jpg,5.214,279.37,0.41348111111111113
Cinderella Castle 🏰,images/disneyland/disney_castle/Cinderella Castle 🏰.jpg,5.398,402.49,0.5468233333333333
Disneyland Paris,images/disneyland/disney_castle/Disneyland Paris.jpg,5.453,0.0,0.2473888888888889
Disneyland,images/disneyland/disney_castle/Disneyland.jpg,5.49,407.25,0.5566944444444445
cfc8a062-bf9c-48d2-979f-cd2423378c09,images/disneyland/disney_castle/cfc8a062-bf9c-48d2-979f-cd2423378c09.jpg,5.489,398.01,0.5473988888888889
disney world photo inspo,images/disneyland/disney_castle/disney world photo inspo.jpg,5.459,650.59,0.7477222222222222
disneyworld castle,images/disneyland/disney_castle/disneyworld castle.jpg,5.368,535.78,0.6784466666666666
downloadgram.org_447784748_25902567832691526_4301790741281026502_n,images/disneyland/disney_castle/downloadgram.org_447784748_25902567832691526_4301790741281026502_n.jpg,5.152,704.59,0.7306666666666667
downloadgram.org_464772249_18463429120051262_8602433210822545224_n,images/disneyland/disney_castle/downloadgram.org_464772249_18463429120051262_8602433210822545224_n.jpg,5.588,381.89,0.5367788888888889
downloadgram.org_464920362_18463429177051262_126694318393601789_n,images/disneyland/disney_castle/downloadgram.org_464920362_18463429177051262_126694318393601789_n.jpg,5.249,588.48,0.7245355555555556
downloadgram.org_464981431_18463429159051262_2533872068788557733_n,images/disneyland/disney_castle/downloadgram.org_464981431_18463429159051262_2533872068788557733_n.jpg,5.728,523.32,0.6859866666666667
downloadgram.org_467019877_18372366811108367_3664847211782186911_n,images/disneyland/disney_castle/downloadgram.org_467019877_18372366811108367_3664847211782186911_n.jpg,5.241,520.63,0.656241111111111
downloadgram.org_468074638_18432982078074980_1436695365339519766_n,images/disneyland/disney_castle/downloadgram.org_468074638_18432982078074980_1436695365339519766_n.jpg,5.483,268.09,0.4171455555555555
downloadgram.org_473889928_18481907062033866_8581619210899793456_n,images/disneyland/disney_castle/downloadgram.org_473889928_18481907062033866_8581619210899793456_n.jpg,5.192,855.32,0.7328888888888889
downloadgram.org_481857154_18048263129202195_7827397574005691274_n,images/disneyland/disney_castle/downloadgram.org_481857154_18048263129202195_7827397574005691274_n.jpg,5.306,712.05,0.7392222222222222
